Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight,Battery,Recharge power,Display,Camera,Fingerprint scanner,Facial recognition
Vivo X23  (Colorful Edition),Snapdragon 660,Octa-core 1.95 GHz,Adreno 512,128 GB,No,6 GB,Android 8.1 "Oreo",Funtouch  OS 4.5,157.6 x 75.4 x 7.1 mm,162g,3500mAh,microUSB 2.0,6.41" 2340x1080 AMOLED,Dual 12 MP + 13 MP (rear camera) 24.8 MP (front camera),Under screen,Yes
Vivo X23,Snapdragon 670,Octa-core (2x2.0 GHz Kryo 460 Gold – Cortex-A76 derivative + 6x1.7 GHz Kryo 460 Silver – Cortex-A55 derivative),Adreno 615,128 GB,No,8 GB,Android 8.1 "Oreo",Funtouch  OS 4.5,157.6 x 75.4 x 7.1 mm,160.5g,3400mAh,microUSB 2.0,6.41" 2340x1080 AMOLED,Dual 12 MP + 13 MP (rear camera) 12 MP (front camera),Under Screen,Yes
Lenovo Z5 Pro GT  (855 version),Snapdragon 855,Octa-core2.8 GHz (1x2.84 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,128 or 256 GB,microSD up to 256 GB,6/8 GB,Android 9.0 "Pie",ZUI 10,155.12 x 73.04 x 9.3 mm,210g,3350 mAh,USB-C18W,6.39" 2340x1080 AMOLED,Dual 16 MP + 24 MP (rear camera) Dual 16 MP + 8 MP (front camera),Under screen,Yes
Oppo R17 Pro,Snapdragon 710,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,128 GB,No,8 GB,Android 8.1 "Oreo",ColorOS 5.2.1,157.6 x 74.6 x 7.9 mm,183g,3700 mAh,USB-C20W（MAX 50WSuper VOOC available）,6.4" 2340x1080 AMOLED,Triple 12 MP + 20 MP + ToF (rear camera) 25MP (front camera),Under screen,Yes
Oppo R17,Snapdragon 670,Octa-core (2x2.0 GHz Kryo 460 Gold – Cortex-A76 derivative + 6x1.7 GHz Kryo 460 Silver – Cortex-A55 derivative),Adreno 615,128 GB,No,6/8 GB,Android 8.1 "Oreo",ColorOS 5.2.1,157.5 x 74.9 x 7.5 mm,182g,3500 mAh,microUSB 2.0,6.4" 2280x1080 AMOLED,Dual 16 MP + 5 MP (rear camera) 25 MP (front camera),Under screen,Yes
Smartisan Pro 2S,Snapdragon 710,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,64/128 GB,No,4/6 GB,Android 8.1 "Oreo",Smartisan OS 6.0,155.3 x 74.1 x 7.15 mm,167g,3600 mAh,USB-C18W,6.01" 2160x1080 AMOLED,Dual 12 MP + 5 MP (rear camera) 16 MP (front camera),Rear-mounted,Yes
Xiaomi Black Shark Helo,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128/256 GB,No,6/8/10 GB,Android 8.1 "Oreo",Blackshark UI,160 x 75.25 x 8.7 mm,190g,4000 mAh,USB-C,6.01" 2160x1080 AMOLED,Dual 12 MP + 20 MP (rear camera) 20 MP (front camera),Rear-mounted,Yes
Xiaomi Black Shark,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64/128 GB,No,6/8 GB,Android 8.0 "Oreo",Blackshark UI,161.6 x 75.4 x 9.3 mm,190g,4000 mAh,USB-C,5.99" 2160x1080 AMOLED,Dual 12 MP + 20 MP (rear camera) 20 MP (front camera),Front-mounted,Yes
Smartisan R1,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64/128/512/1024 GB,No,6/8 GB,Android 8.1 "Oreo",Smartisan OS 6.0,153.3 x 74.5 x 7.9 mm,170g,3600 mAh,USB-C18WWireless10W(MAX),6.17" 2242x1080 AMOLED,Dual 12 MP + 20 MP (rear camera) 24 MP (front camera),Rear-mounted,Yes
ZTE Nubia X,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128/256/512 GB,No,6/8 GB,Android 8.1 "Oreo",Nubia UI 6,154.1 x 73.3 x 8.4 mm,181g,3800 mAh,USB-C18W,6.26" 2280x1080 LTPS IPS LCD +  5.1" 1520x720 OLED,Dual 16 MP + 24 MP,Dual side-mounted,No
